79,24.839,49.254,26.683,67.978,83.217,24.759,40.112,58.694,72.863,102.942
56,13.601,34.409,29.155,38.013,55.000,13.000,28.231,43.186,36.125,67.119
20,41.000,68.352,65.008,5.385,19.416,41.773,63.789,75.584,29.411,45.618
26,43.417,83.451,69.642,41.773,47.170,44.822,75.743,92.763,64.070,81.271
73,15.811,43.417,22.472,59.615,75.286,15.620,34.205,53.160,63.655,93.862
9,59.682,75.027,78.848,19.235,19.698,60.033,73.335,79.762,20.881,21.024
87,28.460,24.187,2.236,69.181,86.093,27.203,15.811,33.015,64.405,96.177
87,31.906,16.279,7.280,69.065,86.093,30.529,8.602,25.020,61.351,93.048
11,58.523,97.745,85.088,46.530,46.098,59.908,90.427,106.794,71.309,82.735
7,72.863,78.854,87.658,37.643,37.483,72.918,79.379,81.394,25.554,7.000
65,7.810,43.382,25.612,51.078,66.761,8.062,34.482,53.226,56.080,85.796
11,52.924,74.148,74.673,9.220,12.207,53.488,71.113,80.081,24.759,31.953
56,20.396,59.942,41.725,50.990,64.140,21.587,51.108,69.771,63.071,89.644
84,31.241,13.000,10.050,66.272,83.295,29.833,4.472,22.361,57.567,89.196
17,55.444,67.030,72.450,21.024,27.203,55.606,65.924,71.344,12.166,22.672
40,49.244,45.607,57.009,38.013,50.448,48.754,46.957,48.094,13.601,40.311
71,17.804,48.765,27.785,59.942,75.027,18.028,39.560,58.523,66.068,95.588
89,40.311,61.205,38.210,82.492,97.082,40.311,52.469,70.007,88.459,118.343
71,17.029,47.802,26.926,59.481,74.673,17.205,38.601,57.567,65.299,94.921
64,24.331,60.407,39.962,59.666,73.062,25.179,51.264,70.228,70.328,97.837
51,43.932,34.482,47.381,43.932,58.310,43.174,36.359,37.014,22.804,51.478
53,51.478,35.847,52.010,50.931,64.405,50.636,39.623,36.139,27.785,53.009
76,30.529,10.630,18.358,59.228,76.118,29.155,6.325,20.000,48.270,79.699
61,43.012,25.080,40.804,51.865,67.082,42.000,28.320,27.019,32.558,61.400
49,36.688,35.057,43.829,37.443,52.802,36.056,34.785,39.623,20.100,51.245
3,74.518,82.377,90.377,37.162,35.057,74.653,82.565,85.212,28.231,3.606
92,40.000,57.559,34.713,83.187,98.234,39.825,49.031,66.121,87.693,118.068
24,75.180,68.476,82.807,52.345,57.775,74.793,71.610,68.352,29.428,28.844
84,24.021,34.000,11.045,67.683,84.172,23.087,25.080,43.186,66.851,98.270
45,19.209,44.294,40.050,27.074,44.011,19.416,38.897,52.431,29.682,58.898
88,31.765,18.439,5.831,70.007,87.023,30.414,10.817,27.000,62.968,94.705
86,26.476,28.071,5.099,68.593,85.376,25.318,19.416,37.054,65.368,97.062
14,46.043,78.262,72.007,16.492,19.849,47.096,72.801,86.093,41.785,53.852
30,31.048,59.506,55.036,13.416,29.428,31.780,54.406,67.231,29.017,51.614
46,19.105,42.942,39.115,28.018,45.000,19.209,37.643,51.039,29.411,59.034
65,39.319,19.925,35.228,53.235,69.080,38.210,22.672,23.195,36.056,65.924
97,47.634,13.342,23.324,80.604,97.494,46.228,16.155,15.000,68.359,99.040
22,49.041,89.107,75.166,45.177,48.754,50.448,81.394,98.412,68.359,83.934
48,24.187,37.947,38.601,30.806,47.676,23.854,34.132,45.177,24.839,56.080
4,64.498,80.006,83.934,22.804,19.235,64.885,78.409,84.593,25.495,18.439
3,57.315,89.900,83.546,25.000,19.105,58.421,84.504,97.617,50.249,56.080
86,32.802,13.153,10.050,68.264,85.288,31.401,5.657,22.091,59.481,91.082
5,57.009,81.025,80.156,13.038,4.472,57.723,77.524,87.281,32.558,35.355
26,72.471,65.765,79.981,50.636,56.798,72.069,68.819,65.788,27.166,29.530
77,27.019,54.452,32.016,68.600,83.259,27.203,45.277,63.953,75.286,104.738
96,50.912,12.369,28.231,81.043,97.745,49.497,18.439,10.000,67.007,97.015
28,34.176,71.840,61.098,27.857,36.797,35.468,64.900,80.722,49.010,68.029
9,75.007,78.160,88.323,41.976,42.755,74.967,79.310,80.062,26.907,10.296
35,39.051,79.812,64.031,47.170,54.818,40.460,71.589,89.404,67.268,87.321
